,Word,Mouth,Body,Head,Shoulder,Eyegaze,Eyebrow,Eyelids,Hand
31,/,ˊ,,,,AD,RB,BB,"hamflathand,hamfingerhookmod,hampinky,hamextfingerl,hampalml,hamshoulders,hamlrat,hamreplace,hamflathand,hamdoublebent,hampinky,hamextfingeru,hampalmd,hamshoulders,hamlrat"
32,?,?,,,,AD,RB,BB,"hamfinger2,hamthumbacrossmod,hampinky,hamextfingeru,hambetween,hamextfingero,hampalmd,hamcircleo,hamclocku,hamclockur"
33,\,`,,,,AD,RB,BB,"hamfinger2,hamthumbacrossmod,hampinky,hamextfingeruo,hampalmd,hamshoulders,hammovedr"
34,^,^,,,,AD,RB,BB,"hamfinger23spread,hamthumbacrossmod,hammiddlefinger,hamfingerhookmod,hamindexfinger,hamfingerhookmod,hamextfingeru,hampalmd,hamshoulders,hamlrat,hamreplace,hamfinger23spread,hamthumbacrossmod,hammiddlefinger,hamfingerhookmod,hamindexfinger,hamfingerhookmod,hamextfingero,hampalmd,hamshoulders,hamlrat"
35,_eyes_,a_Iz,,,,AD,RB,BB,"hamsymmlr,hamfinger2,hamthumbacrossmod,hamextfingerul,hampalml,hameyes,hambetween,hamcheek"
36,~,~,,,,AD,RB,BB,"hamfinger2,hamthumbacrossmod,hampinky,hamextfingero,hampalmd,hamshoulders,hammover,hamsmallmod,hamarcu,hammover,hamsmallmod,hamarcd"
37,1_tháng,1_tháng,,,,AD,RB,BB,"hamparbegin,hamfinger2,hamthumbacrossmod,hamextfingeruo,hambetween,hamextfingeru,hampalmdl,hamplus,hamflathand,hamthumboutmod,hamextfingeruo,hampalmr,hamparend,hamparbegin,hamthumbball,hamplus,hampalm,hamparend,hamtouch,hamparbegin,hammover,hammoveuo,hamreplace,hamextfingeru,hampalmdl,hamparend"
38,2_tháng,2_tháng,,,,AD,RB,BB,"hamparbegin,hamfinger23spread,hamthumbacrossmod,hamextfingeruo,hambetween,hamextfingeru,hampalmdl,hamplus,hamflathand,hamthumboutmod,hamextfingeruo,hampalmr,hamparend,hamparbegin,hamthumbball,hamplus,hampalm,hamparend,hamtouch,hamparbegin,hammover,hammoveuo,hamreplace,hamextfingeru,hampalmdl,hamparend"
39,3_tháng,3_tháng,,,,AD,RB,BB,"hamparbegin,hamfinger2345,hamthumbacrossmod,hampinky,hamdoublebent,hamextfingeruo,hambetween,hamextfingeru,hampalmdl,hamplus,hamflathand,hamthumboutmod,hamextfingeruo,hampalmr,hamparend,hamparbegin,hamthumbball,hamplus,hampalm,hamparend,hamtouch,hamparbegin,hammover,hammoveuo,hamreplace,hamextfingeru,hampalmdl,hamparend"
40,4_tháng,4_tháng,,,,AD,RB,BB,"hamparbegin,hamfinger2345,hamthumbacrossmod,hamextfingeruo,hambetween,hamextfingeru,hampalmdl,hamplus,hamflathand,hamthumboutmod,hamextfingeruo,hampalmr,hamparend,hamparbegin,hamthumbball,hamplus,hamthumbball,hamparend,hamtouch,hamparbegin,hammover,hammoveuo,hamreplace,hamextfingeru,hampalmdl,hamparend"
41,5_th,,,,,AD,RB,BB,"hamfinger2345,hamthumboutmod,hamextfingeru,hampalml,hamchest,hamclose,hamparbegin,hamreplace,hampalmu,hamparend"
42,5_tháng,5_tháng,,,,AD,RB,BB,"hamparbegin,hamfinger2345,hamextfingeruo,hambetween,hamextfingeru,hampalmdl,hamplus,hamflathand,hamthumboutmod,hamextfingeruo,hampalmr,hamparend,hamparbegin,hamthumbball,hamplus,hamthumbball,hamparend,hamtouch,hamparbegin,hammover,hammoveuo,hamreplace,hamextfingeru,hampalmdl,hamparend"
43,a,,,,,AD,RB,BB,"hamfist,hamindexfinger,hamdoublebent,hammiddlefinger,hamdoublebent,hamringfinger,hamdoublebent,hampinky,hamdoublebent,hamextfingeru,hampalmd,hamshoulders,hamlrat"
44,â,L07,,,,AD,RB,BB,"hamfist,hamindexfinger,hamdoublebent,hammiddlefinger,hamdoublebent,hamringfinger,hamdoublebent,hampinky,hamdoublebent,hamextfingeru,hampalmd,hamshoulders,hamlrat,hamreplace,hamfinger23spread,hamfingerhookmod,hamthumbacrossmod"
45,ă,L05,,,,AD,RB,BB,"hamfist,hamindexfinger,hamdoublebent,hammiddlefinger,hamdoublebent,hamringfinger,hamdoublebent,hampinky,hamdoublebent,hamextfingeru,hampalmd,hamshoulders,hamlrat,hamreplace,hamfinger2,hamextfingerul,hampalmdr,hammover,hamsmallmod,hamarcd,hamreplace,hamfinger2,hammiddlefinger,hamdoublebent,hamringfinger,hamdoublebent,hampinky,hamdoublebent,hamextfingeru,hampalmd"
46,a_clare,,,,,AD,RB,BB,"hamparbegin,hamfinger2,hamthumbacrossmod,hamplus,hamfinger2345,hamthumboutmod,hamparend,hamparbegin,hamextfingerol,hampalmdl,hamplus,hamextfingeror,hampalmu,hambetween,hampalmr,hamparend,hamparbegin,hamfingerpad,hamthumb,hamplus,hamfingertip,hamindexfinger,hamparend,hamtouch,hamchest,hambetween,hamlrat,hamchest,hamclose"
47,about_,L13,,,,AD,RB,BB,"hamparbegin,hamfinger2,hamthumbacrossmod,hamextfingerol,hampalml,hamplus,hamfinger2345,hamthumboutmod,hamextfingeror,hampalmu,hamparend,hamparbegin,hampalm,hamplus,hampinkyside,hamparend,hamtouch,hamcircleu,hamsmallmod"
